Time (s),Wave elevation (m)
0.0,3.6430266921283088
0.25,3.6430266921283088
0.5,3.790104235136753
0.75,3.883789713587894
1.0,3.9218040761053055
1.25,3.9040277882061742
1.5,3.832460829101253
1.75,3.711012321142042
2.0,3.545144990882378
2.25,3.3414126225057297
2.5,3.106937591555003
2.75,2.8488796995540238
3.0,2.5739465827250325
3.25,2.2879901482905844
3.5,1.995723472575348
3.75,1.700579442345475
4.0,1.4047174857511917
4.25,1.109169524436163
4.5,0.8141022912000737
4.75,0.519161764872899
5.0,0.2238577717299868
5.25,-0.0720564872439092
5.5,-0.3682538202250478
5.75,-0.6635892619058822
6.0,-0.9559712472503306
6.25,-1.242363186506927
6.5,-1.5189166165435457
6.75,-1.7812226838149086
7.0,-2.024655601019754
7.25,-2.244771242630132
7.5,-2.437717278384929
7.75,-2.600608903091702
8.0,-2.731826590371237
8.25,-2.831199203053779
8.5,-2.9000466151286117
8.75,-2.941069733167579
9.0,-2.958091148753234
9.25,-2.955665135268963
9.5,-2.938589816460639
9.75,-2.911365683155638
10.0,-2.877652062613828
10.25,-2.839775848780925
10.5,-2.798344408893004
10.75,-2.7520071902790493
11.0,-2.697398724616028
11.25,-2.629280447848592
11.5,-2.540881337851621
11.75,-2.4244193500043147
12.0,-2.27176861329139
12.25,-2.0752228803462285
12.5,-1.8282951422870248
12.75,-1.5264876342964633
13.0,-1.1679662619130708
13.25,-0.7540788872761405
13.5,-0.2896675576621589
13.75,0.2168601931054342
14.0,0.7537176012369999
14.25,1.3061791853855294
14.5,1.8572522323256035
14.75,2.3885376012802304
15.0,2.881222949986116
15.25,3.317140629884828
15.5,3.679816914412086
15.75,3.955439354486979
16.0,4.133674861733804
16.25,4.2082820947829145
16.5,4.177476937139451
16.75,4.04402803885873
17.0,3.8150790557098486
17.25,3.5017137707104204
17.5,3.118298177059002
17.75,2.681648462896094
18.0,2.210084575011812
18.25,1.7224349278420272
18.5,1.2370585638497569
18.75,0.7709467940872528
19.0,0.3389575957070033
19.25,-0.046776290897245
19.5,-0.3772393842685206
19.75,-0.6467153038873075
20.0,-0.8527637919843862
20.25,-0.9960124539959746
20.5,-1.0797943857913688
20.75,-1.1096711418457923
21.0,-1.0928849803826233
21.25,-1.0377848963702871
21.5,-0.953267868281322
21.75,-0.8482705569473803
22.0,-0.7313382052195238
22.25,-0.6102876527245426
22.5,-0.4919712171509123
22.75,-0.3821386785968585
23.0,-0.2853865819354002
23.25,-0.2051781835847491
23.5,-0.1439139959152723
23.75,-0.1030321255390423
24.0,-0.0831192844719027
24.25,-0.0840170538370535
24.5,-0.104913086578838
24.75,-0.1444127193629428
25.0,-0.20059216005106
25.25,-0.271039309540398
25.5,-0.3528917730541643
25.75,-0.4428833089202255
26.0,-0.5374096705192032
26.25,-0.6326225784084653
26.5,-0.7245567044468876
26.75,-0.8092895441683079
27.0,-0.8831285249636535
27.25,-0.9428143444294624
27.5,-0.9857250481197826
27.75,-1.010062348738249
28.0,-1.0150006183043294
28.25,-1.0007801059250003
28.5,-0.9687292656633358
28.75,-0.9212063974821746
29.0,-0.8614576595940893
29.25,-0.7933962686843085
29.5,-0.7213156079615201
29.75,-0.6495562057536546
30.0,-0.5821523557680534
30.25,-0.52248786244776
30.5,-0.4729915311642014
30.75,-0.4349013385141093
31.0,-0.4081217343369482
31.25,-0.3911915380076894
31.5,-0.3813709424289901
31.75,-0.3748459814627272
32.0,-0.3670383418470882
32.25,-0.352998559617342
32.5,-0.3278523554058024
32.75,-0.2872639384608695
33.0,-0.227877157808119
33.25,-0.1476957580158805
33.5,-0.0463677709303001
33.75,0.0746539967317962
34.0,0.2120938655668445
34.25,0.3609846547732489
34.5,0.5149432973217068
34.75,0.666573320863509
35.0,0.8079658682613158
35.25,0.9312621512772804
35.5,1.0292344035000724
35.75,1.095840060456054
36.0,1.1267052840137732
36.25,1.1194989810870457
36.5,1.0741667437034126
36.75,0.9930049769656462
37.0,0.8805679783781855
37.25,0.7434138373982178
37.5,0.5897076366210395
37.75,0.4287114986903376
38.0,0.2701996154814428
38.25,0.1238418147341841
38.5,-0.0013989621583215
38.75,-0.0978117922733141
39.0,-0.1593874347022387
39.25,-0.1821428453650298
39.5,-0.1643014985226013
39.75,-0.1063223989685878
40.0,-0.0107828476076956
40.25,0.117868596263004
40.5,0.2736628912867877
40.75,0.4495318921938624
41.0,0.6377632211858095
41.25,0.8304509190108954
41.5,1.0199068861196066
41.75,1.1990038426290173
