epoch,loss,lr,mae,mape,mse,val_loss,val_mae,val_mape,val_mse
0,4.700134013546631e-05,0.001,0.0023858859203755856,33.52764892578125,4.700134013546631e-05,4.972756414645119e-06,0.000944127154070884,13.59419059753418,4.972756414645119e-06
1,4.048296977998689e-05,0.001,0.002506291726604104,69.55839538574219,4.048296977998689e-05,1.1683633829306928e-06,0.0004839706525672227,8.340208053588867,1.1683633829306928e-06
2,4.7306380679401627e-07,0.001,0.0003417713160160929,8.040470123291016,4.7306380679401627e-07,8.335143206750217e-07,0.0003960762987844646,5.4528303146362305,8.335143206750217e-07
3,1.7197907027366455e-06,0.001,0.0005893451161682606,18.711528778076172,1.7197907027366455e-06,6.425192964343296e-07,0.0003460180596448481,4.47473669052124,6.425192964343296e-07
4,1.534954208182171e-05,0.001,0.0014218763681128621,72.8797836303711,1.534954208182171e-05,4.901536954093899e-07,0.0002968388726003468,3.8025121688842773,4.901536954093899e-07
5,4.288636148430669e-07,0.001,0.0003364931035321206,13.97779369354248,4.288636148430669e-07,3.411799696095841e-07,0.0002448294253554195,2.3164045810699463,3.411799696095841e-07
6,1.7849311007012147e-06,0.001,0.0005720514454878867,14.655292510986328,1.7849311007012147e-06,2.793624958030705e-07,0.00022141638328321278,1.9161262512207031,2.793624958030705e-07
7,1.4042208022146951e-05,0.001,0.001019823714159429,28.610595703125,1.4042208022146951e-05,2.2242355157686688e-07,0.00020650138321798295,2.7624480724334717,2.2242355157686688e-07
8,1.549456811744676e-07,0.001,0.00021529983496293426,6.345972061157227,1.549456811744676e-07,1.4296256267698482e-07,0.0001678787375567481,2.0142762660980225,1.4296256267698482e-07
9,3.1424435746885138e-06,0.001,0.000561974011361599,7.842704772949219,3.1424435746885138e-06,1.2747402422519372e-07,0.00016597249486949295,2.451934576034546,1.2747402422519372e-07
10,7.061549922582344e-07,0.001,0.0003637500340119004,9.802751541137695,7.061549922582344e-07,1.6247983580797154e-07,0.00020677460997831076,4.754871845245361,1.6247983580797154e-07
11,2.756687990768114e-06,0.001,0.0006687152781523764,25.793222427368164,2.756687990768114e-06,1.258838295825626e-07,0.00014999358973000199,1.781844973564148,1.258838295825626e-07
12,2.1781738723802846e-06,0.001,0.0004174698842689395,10.129799842834473,2.1781738723802846e-06,1.858032874224591e-07,0.0001704839669400826,1.8585366010665894,1.858032874224591e-07
13,3.824960458587157e-06,0.001,0.0007346568163484335,56.3675537109375,3.824960458587157e-06,9.440385184689148e-08,0.00013293910888023674,2.2227914333343506,9.440385184689148e-08
14,4.636065114027588e-06,0.001,0.000559562467969954,17.325204849243164,4.636065114027588e-06,5.8172894057406666e-08,0.00011265947978245094,1.5276477336883545,5.8172894057406666e-08
15,1.0606095912635283e-07,0.001,0.00018682227528188378,8.050098419189453,1.0606095912635283e-07,1.3801555098780227e-07,0.00018485951295588166,2.8124115467071533,1.3801555098780227e-07
